# http://www.eso.org/sci/facilities/paranal/instruments/fors/inst/Filters/M_BESS_B.txt
# nm Trans
330.000 0.0 
340.000 1.2331313e-02 
350.000 3.1751952e-03 
360.000 4.6572932e-02 
370.000 1.9618513e-01 
380.000 3.6811942e-01 
390.000 5.8278360e-01 
400.000 6.2079400e-01 
410.000 6.6600109e-01 
420.000 6.8712199e-01 
430.000 6.7617283e-01 
440.000 6.1893390e-01 
450.000 6.1986717e-01 
460.000 5.4592211e-01 
470.000 3.6373155e-01 
480.000 2.0608730e-01 
490.000 8.6289628e-02 
500.000 3.8660605e-02 
510.000 1.1195027e-02 
520.000 2.0500971e-03 
530.000 2.2604006e-04 
540.000 1.3540021e-04 
550.000 2.2209896e-04 
560.000 4.8806894e-04 
570.000 3.0331000e-04 
580.000 2.8667268e-05 
590.000 1.2060488e-06 
600.000 6.6411499e-06 
610.000 2.4164677e-05 
620.000 6.7201995e-05 
630.000 5.6621544e-05 
640.000 2.3653108e-05 
650.000 4.6223098e-05 
660.000 7.8477891e-07 
670.000 6.6681695e-07 
680.000 4.6503109e-05 
690.000 9.9436020e-05 
700.000 3.5541566e-04 
710.000 2.4775388e-04 
720.000 2.4813285e-05 
730.000 8.4638211e-05 
740.000 8.3241022e-05 
750.000 8.8353120e-05 
760.000 2.3092360e-05 
770.000 1.1576087e-07 
780.000 5.1105295e-06 
790.000 9.9371023e-07 
800.000 4.9833865e-05 
810.000 3.1578998e-05 
820.000 4.3558465e-05 
830.000 2.3189213e-05 
840.000 7.7517539e-05 
850.000 2.2903372e-05 
860.000 6.9808573e-07 
870.000 3.4942686e-08 
880.000 1.0071247e-05 
890.000 4.1295668e-06 
900.000 2.4082465e-05 
910.000 2.5671436e-05 
920.000 1.2573969e-05 
930.000 5.9476643e-06 
940.000 7.7431396e-05 
950.000 3.5905450e-05 
960.000 3.2013597e-05 
970.000 1.7551033e-06 
980.000 2.0342049e-05 
990.000 6.0733099e-06 
1000.000 5.6146766e-06 
1010.000 4.0878836e-05 
1020.000 5.5932968e-05 
1030.000 2.9911497e-05 
1040.000 2.9160904e-07 
1050.000 9.1055948e-07 
1060.000 6.5889071e-05 
1070.000 7.7732013e-05 
1080.000 7.8683794e-05 
1090.000 2.6085875e-04 
1100.000 8.9144312e-05 
1110.000 8.2657760e-04 
1120.000 3.3600377e-04 
1130.000 2.6805765e-06 
1140.000 1.3353715e-04 
1150.000 4.4959536e-05 
1160.000 4.3919652e-03 
1170.000 6.9420432e-03 
1180.000 7.9576652e-06 
1190.000 1.0687655e-03 
1200.000 0.0 
