# taken at  http://www.eso.org/sci/facilities/paranal/instruments/fors/inst/Filters/curves.html
# nm trans
330.000 2.1185027e-03 
340.000 4.8602697e-03 
350.000 6.5227734e-03 
360.000 2.6835792e-05 
370.000 3.6903690e-03 
380.000 6.2736194e-04 
390.000 2.5423113e-05 
400.000 2.5640352e-03 
410.000 6.6175605e-04 
420.000 2.6324014e-04 
430.000 6.7297684e-04 
440.000 1.6888505e-04 
450.000 4.8998130e-05 
460.000 3.4391721e-04 
470.000 7.0880173e-07 
480.000 2.2958945e-05 
490.000 1.0519435e-04 
500.000 1.5128504e-05 
510.000 3.5231810e-05 
520.000 6.4693438e-05 
530.000 8.7031985e-06 
540.000 6.5580070e-08 
550.000 1.0489408e-05 
560.000 6.1555709e-05 
570.000 2.8587656e-05 
580.000 3.2558503e-05 
590.000 5.7606580e-09 
600.000 8.0301416e-06 
610.000 1.7434635e-07 
620.000 6.5375727e-05 
630.000 2.8392468e-05 
640.000 3.9882824e-05 
650.000 2.4255844e-05 
660.000 5.6389609e-05 
670.000 1.5389461e-05 
680.000 1.8198221e-07 
690.000 2.4521158e-04 
700.000 2.0844322e-02 
710.000 1.7775609e-01 
720.000 4.1236839e-01 
730.000 6.1422456e-01 
740.000 8.1544214e-01 
750.000 9.7286407e-01 
760.000 9.4006653e-01 
770.000 9.2467993e-01 
780.000 9.4579028e-01 
790.000 9.6142917e-01 
800.000 9.7489692e-01 
810.000 9.4936961e-01 
820.000 9.5158193e-01 
830.000 9.4380484e-01 
840.000 9.4153731e-01 
850.000 9.1999664e-01 
860.000 9.2429318e-01 
870.000 4.6129955e-01 
880.000 9.5071730e-02 
890.000 1.3180399e-02 
900.000 3.4276233e-03 
910.000 1.2349827e-03 
920.000 5.2555718e-04 
930.000 1.5044740e-04 
940.000 1.1807560e-04 
950.000 5.8156828e-05 
960.000 7.4508507e-05 
970.000 5.6268686e-05 
980.000 2.0562206e-06 
990.000 4.6092683e-05 
1000.000 4.3177385e-05 
1010.000 8.1429677e-05 
1020.000 3.1704403e-05 
1030.000 3.6625636e-05 
1040.000 4.0172757e-05 
1050.000 3.8724878e-05 
1060.000 2.3850627e-05 
1070.000 4.9709794e-07 
1080.000 6.8004317e-05 
1090.000 1.3751314e-05 
1100.000 1.6347811e-05 
1110.000 3.9833504e-04 
1120.000 5.6900197e-04 
1130.000 1.4945376e-05 
1140.000 2.3275891e-05 
1150.000 1.6627204e-04 
1160.000 2.1643885e-04 
1170.000 4.4480361e-03 
1180.000 3.2285532e-03 
