# http://www.eso.org/sci/facilities/paranal/instruments/fors/inst/Filters/curves.html
# nm trans
330.000 0.0
340.000 7.2413594e-03 
350.000 2.8995668e-03 
360.000 3.8947679e-03 
370.000 2.7526803e-03 
380.000 2.3059286e-03 
390.000 7.7273446e-04 
400.000 7.6910236e-04 
410.000 5.8977369e-04 
420.000 3.3025520e-04 
430.000 1.7525439e-04 
440.000 2.7278710e-04 
450.000 2.4499065e-05 
460.000 1.0601171e-04 
470.000 9.2978110e-05 
480.000 3.0476175e-05 
490.000 5.8116057e-05 
500.000 1.1962359e-05 
510.000 5.6161599e-05 
520.000 2.7011077e-05 
530.000 2.6198404e-05 
540.000 8.2466939e-06 
550.000 1.7992725e-05 
560.000 2.0065989e-02 
570.000 4.2567454e-01 
580.000 7.3667901e-01 
590.000 7.8143384e-01 
600.000 8.5554027e-01 
610.000 8.4219807e-01 
620.000 8.3285800e-01 
630.000 8.0769575e-01 
640.000 7.8145200e-01 
650.000 7.4944423e-01 
660.000 7.1792421e-01 
670.000 6.7971056e-01 
680.000 6.4612237e-01 
690.000 5.9965323e-01 
700.000 6.3158486e-01 
710.000 5.1349586e-01 
720.000 4.6854940e-01 
730.000 3.8977804e-01 
740.000 3.7205642e-01 
750.000 3.2470432e-01 
760.000 2.8535201e-01 
770.000 2.4317361e-01 
780.000 2.0907735e-01 
790.000 1.7446268e-01 
800.000 1.4729915e-01 
810.000 1.1983160e-01 
820.000 9.9621640e-02 
830.000 8.0223423e-02 
840.000 6.7198132e-02 
850.000 5.4904959e-02 
860.000 4.4099645e-02 
870.000 3.4945529e-02 
880.000 2.7833177e-02 
890.000 2.2000427e-02 
900.000 1.7552938e-02 
910.000 1.3922719e-02 
920.000 1.1102989e-02 
930.000 8.7907375e-03 
940.000 7.1249104e-03 
950.000 5.6757253e-03 
960.000 4.6198194e-03 
970.000 3.7605392e-03 
980.000 3.0466895e-03 
990.000 2.5401382e-03 
1000.000 2.1453073e-03 
1010.000 1.7657471e-03 
1020.000 1.5278114e-03 
1030.000 1.2991385e-03 
1040.000 1.1041053e-03 
1050.000 9.2253805e-04 
1060.000 7.3711115e-04 
1070.000 6.0636007e-04 
1080.000 5.7240301e-04 
1090.000 3.7882652e-04 
1100.000 5.7122464e-04 
1110.000 2.3291609e-06 
1120.000 5.2459810e-04 
1130.000 7.9200725e-04 
1140.000 5.2927966e-04 
1150.000 9.1328814e-04 
1160.000 1.2539949e-03 
1170.000 2.4745753e-03 
1180.000 1.2076918e-02 
1190.000 9.5726746e-03 
1200.000 0.0
