# taken at http://www.eso.org/sci/facilities/paranal/instruments/fors/inst/Filters/curves.html
# nm trans
800.000 0.0 
810.000 5.9823072e-03 
820.000 3.1981624e-02 
830.000 1.1265060e-01 
840.000 3.4485098e-01 
850.000 5.4677767e-01 
860.000 7.1678782e-01 
870.000 8.1973486e-01 
880.000 8.7950809e-01 
890.000 9.0812667e-01 
900.000 9.35e-01 
910.000 9.4770965e-01 
920.000 9.5314996e-01 
930.000 9.6061987e-01 
940.000 9.6373843e-01 
950.000 9.6483146e-01 
960.000 9.6327379e-01 
970.000 9.6496277e-01 
980.000 9.6457028e-01 
990.000 9.6890010e-01 
1000.000 9.6702296e-01 
#1010.000 9.7253184e-01 
#1020.000 9.6111723e-01 
#1030.000 9.6880594e-01 
#1040.000 9.5713561e-01 
#1050.000 9.6098970e-01 
#1060.000 9.6294157e-01 
#1070.000 9.6013065e-01 
#1080.000 9.6031694e-01 
#1090.000 9.5962201e-01 
#1100.000 9.5637824e-01 
#1110.000 9.5303235e-01 
#1120.000 9.5708716e-01 
#1130.000 9.4862522e-01 
#1140.000 9.3697371e-01 
#1150.000 9.4269673e-01 
#1160.000 9.4646294e-01 
#1170.000 9.3908740e-01 
#1180.000 9.7299824e-01 
#1190.000 9.5581517e-01 
#1200.000 9.5e-01
#1210.0 0.0
