#Taken from http://www.mpe.mpg.de/~jcg/GROND/GROND_filtercurves.txt
#nm	gBand
349     0.0
350	0.00004
351	0.00005
352	0.00007
353	0.00011
354	0.00012
355	0.00012
356	0.00014
357	0.00016
358	0.00018
359	0.00021
360	0.00028
361	0.00040
362	0.00052
363	0.00066
364	0.00081
365	0.00097
366	0.00114
367	0.00131
368	0.00164
369	0.00219
370	0.00309
371	0.00435
372	0.00595
373	0.00789
374	0.01040
375	0.01374
376	0.01791
377	0.02376
378	0.03222
379	0.04448
380	0.06240
381	0.08871
382	0.12664
383	0.17814
384	0.24211
385	0.31249
386	0.37765
387	0.43601
388	0.49130
389	0.53510
390	0.55703
391	0.56450
392	0.56767
393	0.56764
394	0.56742
395	0.56727
396	0.56874
397	0.57765
398	0.59163
399	0.60381
400	0.61220
401	0.62087
402	0.63134
403	0.64063
404	0.64919
405	0.65724
406	0.66130
407	0.66373
408	0.66526
409	0.66714
410	0.67000
411	0.67331
412	0.67747
413	0.68066
414	0.68210
415	0.68283
416	0.68125
417	0.67984
418	0.68013
419	0.68250
420	0.68638
421	0.69197
422	0.69783
423	0.70232
424	0.70441
425	0.70452
426	0.70196
427	0.69778
428	0.69386
429	0.69151
430	0.69105
431	0.69308
432	0.69583
433	0.69995
434	0.70370
435	0.70623
436	0.70636
437	0.70546
438	0.70431
439	0.70267
440	0.70163
441	0.70078
442	0.70058
443	0.70192
444	0.70300
445	0.70290
446	0.70262
447	0.70263
448	0.70161
449	0.70100
450	0.70049
451	0.70101
452	0.70133
453	0.70244
454	0.70261
455	0.70117
456	0.69883
457	0.69551
458	0.69147
459	0.68637
460	0.68138
461	0.67771
462	0.67481
463	0.67461
464	0.67490
465	0.67612
466	0.67781
467	0.67913
468	0.67944
469	0.67762
470	0.67474
471	0.67119
472	0.66658
473	0.66287
474	0.65948
475	0.65643
476	0.65524
477	0.65473
478	0.65481
479	0.65467
480	0.65445
481	0.65313
482	0.64987
483	0.64626
484	0.64228
485	0.63748
486	0.63367
487	0.63107
488	0.62990
489	0.62885
490	0.62906
491	0.62985
492	0.62951
493	0.62897
494	0.62764
495	0.62396
496	0.62019
497	0.61525
498	0.61000
499	0.60466
500	0.60076
501	0.59824
502	0.59702
503	0.59733
504	0.59800
505	0.59882
506	0.59953
507	0.59920
508	0.59821
509	0.59517
510	0.59182
511	0.58745
512	0.58268
513	0.57842
514	0.57444
515	0.57138
516	0.56980
517	0.56813
518	0.56586
519	0.56265
520	0.55843
521	0.55277
522	0.54501
523	0.53636
524	0.52681
525	0.51657
526	0.50599
527	0.49505
528	0.48316
529	0.47027
530	0.45572
531	0.43839
532	0.41859
533	0.39626
534	0.37223
535	0.34738
536	0.32263
537	0.29721
538	0.26791
539	0.23087
540	0.18364
541	0.13074
542	0.08268
543	0.04708
544	0.02491
545	0.01270
546	0.00640
547	0.00324
548	0.00169
549	0.00092
550	0.00055
551	0.00038
552	0.00029
553	0.00024
554	0.00022
555	0.00021
556	0.00020
557	0.00019
558	0.00017
559	0.00016
560	0.00016
561	0.00015
562	0.00013
563	0.00012
564	0.00012
565	0.00011
566	0.00010
567	0.00010
568	0.00010
569	0.00009
570	0.00008
571	0.00008
572	0.00008
573	0.00008
574	0.00008
575	0.00007
576	0.00007
577	0.00008
578	0.00008
579	0.00008
580	0.00008
581	0.00009
582	0.00010
583	0.00011
584	0.00013
585	0.00016
586	0.00020
587	0.00022
588	0.00020
589	0.00014
590	0.00008
591	0.00004
592	0.00002
593	0.00001
594	0.00001
595	0.00001
596	0.00001
597	0.00000
