A	gBand	rBand	iBand	zBand	JBand	HBand	KBand
350	0.00004	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
351	0.00005	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
352	0.00007	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
353	0.00011	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000
354	0.00012	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000
355	0.00012	0.00005	0.00000	0.00000	0.00000	0.00000	0.00000
356	0.00014	0.00007	0.00000	0.00000	0.00000	0.00000	0.00000
357	0.00016	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000
358	0.00018	0.00011	0.00000	0.00000	0.00000	0.00000	0.00000
359	0.00021	0.00016	0.00000	0.00000	0.00000	0.00000	0.00000
360	0.00028	0.00021	0.00000	0.00000	0.00000	0.00000	0.00000
361	0.00040	0.00027	0.00000	0.00000	0.00000	0.00000	0.00000
362	0.00052	0.00032	0.00000	0.00000	0.00000	0.00000	0.00000
363	0.00066	0.00033	0.00000	0.00000	0.00000	0.00000	0.00000
364	0.00081	0.00028	0.00000	0.00000	0.00000	0.00000	0.00000
365	0.00097	0.00024	0.00000	0.00000	0.00000	0.00000	0.00000
366	0.00114	0.00023	0.00000	0.00000	0.00000	0.00000	0.00000
367	0.00131	0.00026	0.00000	0.00000	0.00000	0.00000	0.00000
368	0.00164	0.00031	0.00000	0.00001	0.00000	0.00000	0.00000
369	0.00219	0.00034	0.00000	0.00001	0.00000	0.00000	0.00000
370	0.00309	0.00034	0.00000	0.00002	0.00000	0.00000	0.00000
371	0.00435	0.00034	0.00000	0.00002	0.00000	0.00000	0.00000
372	0.00595	0.00037	0.00000	0.00000	0.00000	0.00000	0.00000
373	0.00789	0.00044	0.00000	0.00000	0.00000	0.00000	0.00000
374	0.01040	0.00045	0.00000	0.00000	0.00000	0.00000	0.00000
375	0.01374	0.00047	0.00000	0.00000	0.00000	0.00000	0.00000
376	0.01791	0.00043	0.00000	0.00000	0.00000	0.00000	0.00000
377	0.02376	0.00039	0.00000	0.00000	0.00000	0.00000	0.00000
378	0.03222	0.00039	0.00000	0.00000	0.00000	0.00000	0.00000
379	0.04448	0.00036	0.00000	0.00000	0.00000	0.00000	0.00000
380	0.06240	0.00032	0.00000	0.00000	0.00000	0.00000	0.00000
381	0.08871	0.00027	0.00000	0.00000	0.00000	0.00000	0.00000
382	0.12664	0.00021	0.00000	0.00000	0.00000	0.00000	0.00000
383	0.17814	0.00019	0.00005	0.00000	0.00000	0.00000	0.00000
384	0.24211	0.00016	0.00021	0.00001	0.00000	0.00000	0.00000
385	0.31249	0.00017	0.00080	0.00003	0.00000	0.00000	0.00000
386	0.37765	0.00016	0.00170	0.00009	0.00000	0.00000	0.00000
387	0.43601	0.00013	0.00195	0.00014	0.00000	0.00000	0.00000
388	0.49130	0.00010	0.00118	0.00013	0.00000	0.00000	0.00000
389	0.53510	0.00008	0.00035	0.00007	0.00000	0.00000	0.00000
390	0.55703	0.00006	0.00006	0.00003	0.00000	0.00000	0.00000
391	0.56450	0.00006	0.00000	0.00000	0.00000	0.00000	0.00000
392	0.56767	0.00006	0.00000	0.00000	0.00000	0.00000	0.00000
393	0.56764	0.00008	0.00004	0.00010	0.00000	0.00000	0.00000
394	0.56742	0.00010	0.00027	0.00031	0.00000	0.00000	0.00000
395	0.56727	0.00015	0.00070	0.00062	0.00000	0.00000	0.00000
396	0.56874	0.00020	0.00116	0.00072	0.00000	0.00000	0.00000
397	0.57765	0.00030	0.00123	0.00063	0.00000	0.00000	0.00000
398	0.59163	0.00040	0.00066	0.00038	0.00000	0.00000	0.00000
399	0.60381	0.00045	0.00012	0.00010	0.00000	0.00000	0.00000
400	0.61220	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
401	0.62087	0.00051	0.00000	0.00000	0.00000	0.00000	0.00000
402	0.63134	0.00047	0.00000	0.00000	0.00000	0.00000	0.00000
403	0.64063	0.00049	0.00000	0.00000	0.00000	0.00000	0.00000
404	0.64919	0.00041	0.00000	0.00000	0.00000	0.00000	0.00000
405	0.65724	0.00041	0.00000	0.00000	0.00000	0.00000	0.00000
406	0.66130	0.00049	0.00000	0.00000	0.00000	0.00000	0.00000
407	0.66373	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000
408	0.66526	0.00061	0.00000	0.00000	0.00000	0.00000	0.00000
409	0.66714	0.00072	0.00000	0.00000	0.00000	0.00000	0.00000
410	0.67000	0.00082	0.00000	0.00000	0.00000	0.00000	0.00000
411	0.67331	0.00101	0.00000	0.00000	0.00000	0.00000	0.00000
412	0.67747	0.00116	0.00000	0.00000	0.00000	0.00000	0.00000
413	0.68066	0.00124	0.00000	0.00000	0.00000	0.00000	0.00000
414	0.68210	0.00131	0.00000	0.00000	0.00000	0.00000	0.00000
415	0.68283	0.00121	0.00000	0.00000	0.00000	0.00000	0.00000
416	0.68125	0.00095	0.00000	0.00000	0.00000	0.00000	0.00000
417	0.67984	0.00071	0.00000	0.00000	0.00000	0.00000	0.00000
418	0.68013	0.00048	0.00000	0.00000	0.00000	0.00000	0.00000
419	0.68250	0.00028	0.00000	0.00000	0.00000	0.00000	0.00000
420	0.68638	0.00018	0.00000	0.00000	0.00000	0.00000	0.00000
421	0.69197	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000
422	0.69783	0.00008	0.00000	0.00000	0.00000	0.00000	0.00000
423	0.70232	0.00006	0.00000	0.00000	0.00000	0.00000	0.00000
424	0.70441	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000
425	0.70452	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000
426	0.70196	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000
427	0.69778	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000
428	0.69386	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
429	0.69151	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
430	0.69105	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
431	0.69308	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
432	0.69583	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
433	0.69995	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
434	0.70370	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000
435	0.70623	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000
436	0.70636	0.00002	0.00000	0.00000	0.00000	0.00000	0.00000
437	0.70546	0.00003	0.00000	0.00000	0.00000	0.00000	0.00000
438	0.70431	0.00004	0.00000	0.00000	0.00000	0.00000	0.00000
439	0.70267	0.00006	0.00000	0.00000	0.00000	0.00000	0.00000
440	0.70163	0.00008	0.00000	0.00000	0.00000	0.00000	0.00000
441	0.70078	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000
442	0.70058	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000
443	0.70192	0.00016	0.00000	0.00000	0.00000	0.00000	0.00000
444	0.70300	0.00015	0.00000	0.00000	0.00000	0.00000	0.00000
445	0.70290	0.00014	0.00000	0.00000	0.00000	0.00000	0.00000
446	0.70262	0.00021	0.00000	0.00000	0.00000	0.00000	0.00000
447	0.70263	0.00027	0.00000	0.00000	0.00000	0.00000	0.00000
448	0.70161	0.00034	0.00000	0.00000	0.00000	0.00000	0.00000
449	0.70100	0.00038	0.00000	0.00000	0.00000	0.00000	0.00000
450	0.70049	0.00041	0.00000	0.00000	0.00000	0.00000	0.00000
451	0.70101	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
452	0.70133	0.00051	0.00000	0.00000	0.00000	0.00000	0.00000
453	0.70244	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000
454	0.70261	0.00050	0.00000	0.00000	0.00000	0.00000	0.00000
455	0.70117	0.00049	0.00000	0.00000	0.00000	0.00000	0.00000
456	0.69883	0.00049	0.00000	0.00000	0.00000	0.00000	0.00000
457	0.69551	0.00052	0.00000	0.00000	0.00000	0.00000	0.00000
458	0.69147	0.00053	0.00000	0.00000	0.00000	0.00000	0.00000
459	0.68637	0.00055	0.00000	0.00000	0.00000	0.00000	0.00000
460	0.68138	0.00057	0.00000	0.00000	0.00000	0.00000	0.00000
461	0.67771	0.00059	0.00000	0.00000	0.00000	0.00000	0.00000
462	0.67481	0.00059	0.00000	0.00000	0.00000	0.00000	0.00000
463	0.67461	0.00057	0.00000	0.00000	0.00000	0.00000	0.00000
464	0.67490	0.00052	0.00000	0.00000	0.00000	0.00000	0.00000
465	0.67612	0.00054	0.00000	0.00000	0.00000	0.00000	0.00000
466	0.67781	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
467	0.67913	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
468	0.67944	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
469	0.67762	0.00044	0.00000	0.00000	0.00000	0.00000	0.00000
470	0.67474	0.00043	0.00000	0.00000	0.00000	0.00000	0.00000
471	0.67119	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000
472	0.66658	0.00037	0.00000	0.00000	0.00000	0.00000	0.00000
473	0.66287	0.00034	0.00000	0.00000	0.00000	0.00000	0.00000
474	0.65948	0.00031	0.00000	0.00000	0.00000	0.00000	0.00000
475	0.65643	0.00028	0.00000	0.00000	0.00000	0.00000	0.00000
476	0.65524	0.00032	0.00000	0.00000	0.00000	0.00000	0.00000
477	0.65473	0.00031	0.00000	0.00000	0.00000	0.00000	0.00000
478	0.65481	0.00035	0.00000	0.00000	0.00000	0.00000	0.00000
479	0.65467	0.00040	0.00000	0.00000	0.00000	0.00000	0.00000
480	0.65445	0.00046	0.00000	0.00000	0.00000	0.00000	0.00000
481	0.65313	0.00048	0.00000	0.00000	0.00000	0.00000	0.00000
482	0.64987	0.00055	0.00000	0.00000	0.00000	0.00000	0.00000
483	0.64626	0.00067	0.00000	0.00000	0.00000	0.00000	0.00000
484	0.64228	0.00073	0.00000	0.00000	0.00000	0.00000	0.00000
485	0.63748	0.00084	0.00000	0.00000	0.00000	0.00000	0.00000
486	0.63367	0.00093	0.00000	0.00000	0.00000	0.00000	0.00000
487	0.63107	0.00107	0.00000	0.00000	0.00000	0.00000	0.00000
488	0.62990	0.00116	0.00000	0.00000	0.00000	0.00000	0.00000
489	0.62885	0.00137	0.00000	0.00000	0.00000	0.00000	0.00000
490	0.62906	0.00155	0.00000	0.00000	0.00000	0.00000	0.00000
