# Taken at http://www.eso.org/sci/facilities/paranal/decommissioned/isaac/inst/isaac_img.html
# nm Hband
1462.5 0.0
1462.6 0.0004
1462.8 0.0016
1463.1 0.0032
1463.3 0.0062
1463.5 0.0100
1463.7 0.0139
1463.9 0.0171
1464.1 0.0188
1464.3 0.0198
1464.6 0.0205
1464.8 0.0204
1465 0.0192
1465.2 0.0167
1465.4 0.0139
1465.6 0.0124
1465.8 0.0131
1466.1 0.0151
1466.3 0.0170
1466.5 0.0176
1466.7 0.0165
1466.9 0.0144
1467.1 0.0122
1467.4 0.0100
1467.6 0.0085
1467.8 0.0083
1468 0.0094
1468.2 0.0119
1468.4 0.0140
1468.6 0.0143
1468.9 0.0124
1469.1 0.0095
1469.3 0.0072
1469.5 0.0073
1469.7 0.0092
1469.9 0.0118
1470.2 0.0142
1470.4 0.0160
1470.6 0.0174
1470.8 0.0187
1471 0.0191
1471.2 0.0180
1471.5 0.0154
1471.7 0.0122
1471.9 0.0098
1472.1 0.0092
1472.3 0.0101
1472.5 0.0121
1472.8 0.0144
1473 0.0165
1473.2 0.0180
1473.4 0.0191
1473.6 0.0201
1473.8 0.0215
1474.1 0.0235
1474.3 0.0260
1474.5 0.0282
1474.7 0.0293
1474.9 0.0287
1475.1 0.0267
1475.4 0.0244
1475.6 0.0224
1475.8 0.0215
1476 0.0218
1476.2 0.0230
1476.5 0.0251
1476.7 0.0273
1476.9 0.0291
1477.1 0.0299
1477.3 0.0295
1477.5 0.0284
1477.8 0.0273
1478 0.0267
1478.2 0.0270
1478.4 0.0282
1478.6 0.0304
1478.9 0.0330
1479.1 0.0356
1479.3 0.0374
1479.5 0.0380
1479.7 0.0377
1479.9 0.0376
1480.2 0.0384
1480.4 0.0401
1480.6 0.0420
1480.8 0.0431
1481 0.0434
1481.3 0.0433
1481.5 0.0432
1481.7 0.0434
1481.9 0.0442
1482.1 0.0453
1482.4 0.0474
1482.6 0.0502
1482.8 0.0533
1483 0.0559
1483.2 0.0575
1483.5 0.0582
1483.7 0.0590
1483.9 0.0601
1484.1 0.0611
1484.3 0.0618
1484.6 0.0623
1484.8 0.0634
1485 0.0665
1485.2 0.0714
1485.4 0.0763
1485.7 0.0793
1485.9 0.0790
1486.1 0.0761
1486.3 0.0731
1486.5 0.0714
1486.8 0.0722
1487 0.0751
1487.2 0.0790
1487.4 0.0836
1487.7 0.0884
1487.9 0.0928
1488.1 0.0961
1488.3 0.0980
1488.5 0.0984
1488.8 0.0981
1489 0.0975
1489.2 0.0969
1489.4 0.0966
1489.6 0.0970
1489.9 0.0986
1490.1 0.1019
1490.3 0.1068
1490.5 0.1126
1490.8 0.1186
1491 0.1243
1491.2 0.1288
1491.4 0.1321
1491.6 0.1340
1491.9 0.1349
1492.1 0.1362
1492.3 0.1388
1492.5 0.1431
1492.8 0.1485
1493 0.1540
1493.2 0.1584
1493.4 0.1620
1493.7 0.1653
1493.9 0.1685
1494.1 0.1716
1494.3 0.1742
1494.5 0.1761
1494.8 0.1779
1495 0.1800
1495.2 0.1829
1495.4 0.1867
1495.7 0.1908
1495.9 0.1950
1496.1 0.1991
1496.3 0.2033
1496.6 0.2077
1496.8 0.2125
1497 0.2176
1497.2 0.2230
1497.5 0.2288
1497.7 0.2350
1497.9 0.2415
1498.1 0.2479
1498.4 0.2539
1498.6 0.2591
1498.8 0.2634
1499 0.2674
1499.3 0.2721
1499.5 0.2779
1499.7 0.2848
1499.9 0.2918
1500.2 0.2980
1500.4 0.3029
1500.6 0.3068
1500.8 0.3103
1501.1 0.3139
1501.3 0.3182
1501.5 0.3234
1501.7 0.3297
1502 0.3368
1502.2 0.3440
1502.4 0.3503
1502.6 0.3553
1502.9 0.3594
1503.1 0.3636
1503.3 0.3688
1503.5 0.3751
1503.8 0.3823
1504 0.3898
1504.2 0.3971
1504.4 0.4041
1504.7 0.4100
1504.9 0.4149
1505.1 0.4194
1505.3 0.4245
1505.6 0.4309
1505.8 0.4388
1506 0.4464
1506.3 0.4525
1506.5 0.4572
1506.7 0.4616
1506.9 0.4672
1507.2 0.4748
1507.4 0.4830
1507.6 0.4907
1507.8 0.4970
1508.1 0.5022
1508.3 0.5074
1508.5 0.5128
1508.8 0.5177
1509 0.5221
1509.2 0.5260
1509.4 0.5300
1509.7 0.5351
1509.9 0.5410
1510.1 0.5468
1510.3 0.5519
1510.6 0.5558
1510.8 0.5594
1511 0.5635
1511.3 0.5687
1511.5 0.5749
1511.7 0.5815
1511.9 0.5874
1512.2 0.5924
1512.4 0.5966
1512.6 0.6004
1512.9 0.6041
1513.1 0.6077
1513.3 0.6113
1513.5 0.6151
1513.8 0.6194
1514 0.6244
1514.2 0.6297
1514.5 0.6344
1514.7 0.6378
1514.9 0.6397
1515.2 0.6407
1515.4 0.6419
1515.6 0.6439
1515.8 0.6468
1516.1 0.6505
1516.3 0.6548
1516.5 0.6596
1516.8 0.6646
1517 0.6696
1517.2 0.6741
1517.5 0.6779
1517.7 0.6812
1517.9 0.6839
1518.1 0.6863
1518.4 0.6885
1518.6 0.6905
1518.8 0.6930
1519.1 0.6960
1519.3 0.6994
1519.5 0.7026
1519.8 0.7051
1520 0.7067
1520.2 0.7081
1520.5 0.7097
1520.7 0.7116
1520.9 0.7137
1521.1 0.7158
1521.4 0.7178
1521.6 0.7197
1521.8 0.7214
1522.1 0.7226
1522.3 0.7235
1522.5 0.7243
1522.8 0.7253
1523 0.7267
1523.2 0.7283
1523.5 0.7300
1523.7 0.7317
1523.9 0.7333
1524.2 0.7345
1524.4 0.7352
1524.6 0.7357
1524.9 0.7363
1525.1 0.7379
1525.3 0.7407
1525.6 0.7442
1525.8 0.7474
1526 0.7496
1526.3 0.7507
1526.5 0.7513
1526.7 0.7521
1527 0.7534
1527.2 0.7551
1527.4 0.7569
1527.7 0.7581
1527.9 0.7585
1528.1 0.7576
1528.4 0.7555
1528.6 0.7532
1528.8 0.7519
1529.1 0.7520
1529.3 0.7532
1529.5 0.7541
1529.8 0.7537
1530 0.7524
1530.2 0.7516
1530.5 0.7525
1530.7 0.7556
1530.9 0.7599
1531.2 0.7638
1531.4 0.7662
1531.6 0.7668
1531.9 0.7663
1532.1 0.7657
1532.3 0.7659
1532.6 0.7673
1532.8 0.7694
1533 0.7713
1533.3 0.7723
1533.5 0.7724
1533.7 0.7728
1534 0.7742
1534.2 0.7770
1534.4 0.7801
1534.7 0.7821
1534.9 0.7829
1535.2 0.7831
1535.4 0.7836
1535.6 0.7848
1535.9 0.7862
1536.1 0.7869
1536.3 0.7871
1536.6 0.7874
1536.8 0.7879
1537 0.7888
1537.3 0.7892
1537.5 0.7891
1537.8 0.7894
1538 0.7906
1538.2 0.7924
1538.5 0.7942
1538.7 0.7951
1538.9 0.7952
1539.2 0.7959
1539.4 0.7975
1539.6 0.7997
1539.9 0.8013
1540.1 0.8013
1540.4 0.7994
1540.6 0.7969
1540.8 0.7947
1541.1 0.7935
1541.3 0.7938
1541.5 0.7954
1541.8 0.7979
1542 0.8007
1542.3 0.8027
1542.5 0.8034
1542.7 0.8032
1543 0.8029
1543.2 0.8031
1543.4 0.8037
1543.7 0.8041
1543.9 0.8038
1544.2 0.8037
1544.4 0.8045
1544.6 0.8066
1544.9 0.8095
1545.1 0.8116
1545.4 0.8124
1545.6 0.8120
1545.8 0.8114
1546.1 0.8117
1546.3 0.8133
1546.6 0.8158
1546.8 0.8186
1547 0.8207
1547.3 0.8214
1547.5 0.8206
1547.7 0.8189
1548 0.8174
1548.2 0.8168
1548.5 0.8173
1548.7 0.8182
1548.9 0.8186
1549.2 0.8183
1549.4 0.8175
1549.7 0.8166
1549.9 0.8159
1550.1 0.8155
1550.4 0.8154
1550.6 0.8160
1550.9 0.8171
1551.1 0.8185
1551.3 0.8199
1551.6 0.8212
1551.8 0.8223
1552.1 0.8232
1552.3 0.8233
1552.6 0.8219
1552.8 0.8191
1553 0.8162
1553.3 0.8146
1553.5 0.8152
1553.8 0.8174
1554 0.8196
1554.2 0.8214
1554.5 0.8225
1554.7 0.8234
1555 0.8245
1555.2 0.8256
1555.5 0.8260
1555.7 0.8265
1555.9 0.8274
1556.2 0.8288
1556.4 0.8305
1556.7 0.8315
1556.9 0.8311
1557.1 0.8302
1557.4 0.8293
1557.6 0.8285
1557.9 0.8276
1558.1 0.8260
1558.4 0.8240
1558.6 0.8230
1558.8 0.8233
1559.1 0.8245
1559.3 0.8261
1559.6 0.8273
1559.8 0.8283
1560.1 0.8299
1560.3 0.8318
1560.5 0.8334
1560.8 0.8341
1561 0.8337
1561.3 0.8326
1561.5 0.8315
1561.8 0.8306
1562 0.8293
1562.3 0.8277
1562.5 0.8258
1562.7 0.8238
1563 0.8223
1563.2 0.8212
1563.5 0.8205
1563.7 0.8204
1564 0.8208
1564.2 0.8215
1564.5 0.8224
1564.7 0.8236
1564.9 0.8250
1565.2 0.8266
1565.4 0.8280
1565.7 0.8283
1565.9 0.8276
1566.2 0.8263
1566.4 0.8251
1566.7 0.8246
1566.9 0.8246
1567.2 0.8246
1567.4 0.8243
1567.6 0.8241
1567.9 0.8243
1568.1 0.8250
1568.4 0.8264
1568.6 0.8278
1568.9 0.8294
1569.1 0.8310
1569.4 0.8318
1569.6 0.8311
1569.9 0.8290
1570.1 0.8260
1570.4 0.8238
1570.6 0.8231
1570.8 0.8236
1571.1 0.8249
1571.3 0.8266
1571.6 0.8286
1571.8 0.8309
1572.1 0.8327
1572.3 0.8326
1572.6 0.8310
1572.8 0.8289
1573.1 0.8279
1573.3 0.8286
1573.6 0.8301
1573.8 0.8303
1574.1 0.8291
1574.3 0.8272
1574.6 0.8255
1574.8 0.8245
1575.1 0.8236
1575.3 0.8219
1575.5 0.8205
1575.8 0.8204
1576 0.8216
1576.3 0.8233
1576.5 0.8236
1576.8 0.8218
1577 0.8194
1577.3 0.8179
1577.5 0.8176
1577.8 0.8182
1578 0.8185
1578.3 0.8183
1578.5 0.8186
1578.8 0.8199
1579 0.8219
1579.3 0.8238
1579.5 0.8249
1579.8 0.8253
1580 0.8256
1580.3 0.8254
1580.5 0.8241
1580.8 0.8220
1581 0.8198
1581.3 0.8183
1581.5 0.8183
1581.8 0.8188
1582 0.8185
1582.3 0.8178
1582.5 0.8175
1582.8 0.8181
1583 0.8196
1583.3 0.8203
1583.5 0.8193
1583.8 0.8178
1584 0.8170
1584.3 0.8176
1584.5 0.8194
1584.8 0.8205
1585 0.8201
1585.3 0.8189
1585.5 0.8178
1585.8 0.8174
1586 0.8177
1586.3 0.8178
1586.5 0.8177
1586.8 0.8178
1587 0.8181
1587.3 0.8183
1587.6 0.8181
1587.8 0.8175
1588.1 0.8172
1588.3 0.8179
1588.6 0.8191
1588.8 0.8201
1589.1 0.8206
1589.3 0.8203
1589.6 0.8196
1589.8 0.8191
1590.1 0.8187
1590.3 0.8182
1590.6 0.8179
1590.8 0.8177
1591.1 0.8175
1591.3 0.8173
1591.6 0.8170
1591.8 0.8169
1592.1 0.8174
1592.4 0.8184
1592.6 0.8189
1592.9 0.8186
1593.1 0.8176
1593.4 0.8167
1593.6 0.8168
1593.9 0.8177
1594.1 0.8183
1594.4 0.8183
1594.6 0.8175
1594.9 0.8166
1595.2 0.8165
1595.4 0.8169
1595.7 0.8174
1595.9 0.8178
1596.2 0.8182
1596.4 0.8185
1596.7 0.8187
1596.9 0.8185
1597.2 0.8178
1597.4 0.8173
1597.7 0.8174
1598 0.8174
1598.2 0.8173
1598.5 0.8169
1598.7 0.8171
1599 0.8191
1599.2 0.8225
1599.5 0.8258
1599.7 0.8275
1600 0.8269
1600.3 0.8246
1600.5 0.8223
1600.8 0.8205
1601 0.8189
1601.3 0.8175
1601.5 0.8166
1601.8 0.8167
1602.1 0.8183
1602.3 0.8205
1602.6 0.8225
1602.8 0.8242
1603.1 0.8259
1603.3 0.8278
1603.6 0.8298
1603.8 0.8310
1604.1 0.8309
1604.4 0.8306
1604.6 0.8304
1604.9 0.8301
1605.1 0.8291
1605.4 0.8266
1605.7 0.8232
1605.9 0.8206
1606.2 0.8198
1606.4 0.8204
1606.7 0.8216
1606.9 0.8222
1607.2 0.8226
1607.5 0.8240
1607.7 0.8265
1608 0.8291
1608.2 0.8309
1608.5 0.8309
1608.8 0.8298
1609 0.8286
1609.3 0.8274
1609.5 0.8261
1609.8 0.8252
1610 0.8246
1610.3 0.8250
1610.6 0.8264
1610.8 0.8278
1611.1 0.8285
1611.3 0.8286
1611.6 0.8284
1611.9 0.8279
1612.1 0.8270
1612.4 0.8253
1612.6 0.8231
