# Taken at http://www.eso.org/sci/facilities/paranal/decommissioned/isaac/inst/isaac_img.html
# nm Jband
1074 0.0
1074.1 0.0018
1074.2 0.0077
1074.3 0.0107
1074.5 0.0099
1074.6 0.0066
1074.7 0.0032
1074.8 0.0020
1074.9 0.0038
1075 0.0073
1075.2 0.0100
1075.3 0.0103
1075.4 0.0092
1075.5 0.0086
1075.6 0.0116
1075.7 0.0173
1075.8 0.0223
1076 0.0240
1076.1 0.0211
1076.2 0.0159
1076.3 0.0124
1076.4 0.0113
1076.5 0.0115
1076.7 0.0113
1076.8 0.0089
1076.9 0.0056
1077 0.0036
1077.1 0.0031
1077.2 0.0041
1077.4 0.0061
1077.5 0.0085
1077.6 0.0112
1077.7 0.0137
1077.8 0.0148
1077.9 0.0147
1078.1 0.0145
1078.2 0.0158
1078.3 0.0195
1078.4 0.0250
1078.5 0.0303
1078.6 0.0335
1078.7 0.0339
1078.9 0.0316
1079 0.0275
1079.1 0.0226
1079.2 0.0173
1079.3 0.0133
1079.4 0.0118
1079.6 0.0117
1079.7 0.0115
1079.8 0.0109
1079.9 0.0105
1080 0.0118
1080.1 0.0156
1080.3 0.0201
1080.4 0.0231
1080.5 0.0240
1080.6 0.0232
1080.7 0.0227
1080.8 0.0236
1081 0.0246
1081.1 0.0245
1081.2 0.0237
1081.3 0.0227
1081.4 0.0230
1081.5 0.0245
1081.7 0.0252
1081.8 0.0243
1081.9 0.0226
1082 0.0209
1082.1 0.0206
1082.3 0.0222
1082.4 0.0248
1082.5 0.0278
1082.6 0.0305
1082.7 0.0317
1082.8 0.0309
1083 0.0286
1083.1 0.0259
1083.2 0.0235
1083.3 0.0218
1083.4 0.0199
1083.5 0.0175
1083.7 0.0158
1083.8 0.0161
1083.9 0.0195
1084 0.0252
1084.1 0.0300
1084.2 0.0323
1084.4 0.0338
1084.5 0.0363
1084.6 0.0411
1084.7 0.0467
1084.8 0.0492
1085 0.0479
1085.1 0.0448
1085.2 0.0425
1085.3 0.0432
1085.4 0.0459
1085.5 0.0478
1085.7 0.0490
1085.8 0.0514
1085.9 0.0552
1086 0.0601
1086.1 0.0632
1086.2 0.0620
1086.4 0.0581
1086.5 0.0539
1086.6 0.0513
1086.7 0.0511
1086.8 0.0520
1087 0.0527
1087.1 0.0543
1087.2 0.0576
1087.3 0.0623
1087.4 0.0674
1087.5 0.0703
1087.7 0.0704
1087.8 0.0686
1087.9 0.0667
1088 0.0658
1088.1 0.0669
1088.3 0.0699
1088.4 0.0737
1088.5 0.0769
1088.6 0.0785
1088.7 0.0786
1088.9 0.0775
1089 0.0761
1089.1 0.0749
1089.2 0.0742
1089.3 0.0745
1089.4 0.0759
1089.6 0.0790
1089.7 0.0836
1089.8 0.0868
1089.9 0.0866
1090 0.0834
1090.2 0.0795
1090.3 0.0779
1090.4 0.0802
1090.5 0.0851
1090.6 0.0909
1090.8 0.0959
1090.9 0.1001
1091 0.1051
1091.1 0.1111
1091.2 0.1164
1091.3 0.1201
1091.5 0.1217
1091.6 0.1220
1091.7 0.1224
1091.8 0.1237
1091.9 0.1261
1092.1 0.1296
1092.2 0.1335
1092.3 0.1363
1092.4 0.1368
1092.5 0.1352
1092.7 0.1325
1092.8 0.1308
1092.9 0.1316
1093 0.1341
1093.1 0.1368
1093.3 0.1396
1093.4 0.1423
1093.5 0.1453
1093.6 0.1482
1093.7 0.1495
1093.9 0.1489
1094 0.1484
1094.1 0.1499
1094.2 0.1545
1094.3 0.1615
1094.5 0.1675
1094.6 0.1723
1094.7 0.1774
1094.8 0.1842
1094.9 0.1933
1095.1 0.2025
1095.2 0.2082
1095.3 0.2093
1095.4 0.2067
1095.5 0.2025
1095.7 0.1990
1095.8 0.1982
1095.9 0.2005
1096 0.2049
1096.1 0.2099
1096.3 0.2124
1096.4 0.2115
1096.5 0.2093
1096.6 0.2088
1096.7 0.2121
1096.9 0.2193
1097 0.2275
1097.1 0.2344
1097.2 0.2398
1097.3 0.2439
1097.5 0.2466
1097.6 0.2482
1097.7 0.2490
1097.8 0.2506
1097.9 0.2555
1098.1 0.2630
1098.2 0.2699
1098.3 0.2735
1098.4 0.2724
1098.5 0.2692
1098.7 0.2684
1098.8 0.2698
1098.9 0.2715
1099 0.2731
1099.1 0.2750
1099.3 0.2802
1099.4 0.2904
1099.5 0.3016
1099.6 0.3096
1099.7 0.3137
1099.9 0.3151
1100 0.3179
1100.1 0.3237
1100.2 0.3278
1100.4 0.3277
1100.5 0.3247
1100.6 0.3216
1100.7 0.3217
1100.8 0.3254
1101 0.3290
1101.1 0.3314
1101.2 0.3342
1101.3 0.3390
1101.4 0.3470
1101.6 0.3567
1101.7 0.3645
1101.8 0.3697
1101.9 0.3734
1102 0.3757
1102.2 0.3768
1102.3 0.3778
1102.4 0.3796
1102.5 0.3834
1102.7 0.3895
1102.8 0.3944
1102.9 0.3957
1103 0.3950
1103.1 0.3946
1103.3 0.3969
1103.4 0.4020
1103.5 0.4058
1103.6 0.4067
1103.8 0.4071
1103.9 0.4094
1104 0.4150
1104.1 0.4226
1104.2 0.4273
1104.4 0.4282
1104.5 0.4282
1104.6 0.4290
1104.7 0.4311
1104.9 0.4338
1105 0.4349
1105.1 0.4368
1105.2 0.4426
1105.3 0.4512
1105.5 0.4596
1105.6 0.4645
1105.7 0.4639
1105.8 0.4605
1106 0.4579
1106.1 0.4562
1106.2 0.4553
1106.3 0.4558
1106.4 0.4584
1106.6 0.4647
