# Taken at http://www.eso.org/sci/facilities/paranal/decommissioned/isaac/inst/isaac_img.html
# nm Ksband
1950 0.0
1950.1 0.0020
1950.5 0.0017
1950.8 0.0018
1951.2 0.0020
1951.6 0.0021
1952 0.0019
1952.4 0.0014
1952.7 0.0010
1953.1 0.0010
1953.5 0.0012
1953.9 0.0017
1954.3 0.0022
1954.7 0.0026
1955 0.0026
1955.4 0.0025
1955.8 0.0021
1956.2 0.0018
1956.6 0.0017
1956.9 0.0020
1957.3 0.0024
1957.7 0.0028
1958.1 0.0032
1958.5 0.0035
1958.9 0.0038
1959.2 0.0042
1959.6 0.0046
1960 0.0049
1960.4 0.0050
1960.8 0.0050
1961.2 0.0049
1961.6 0.0049
1961.9 0.0047
1962.3 0.0043
1962.7 0.0038
1963.1 0.0033
1963.5 0.0029
1963.9 0.0028
1964.3 0.0031
1964.6 0.0039
1965 0.0051
1965.4 0.0062
1965.8 0.0068
1966.2 0.0066
1966.6 0.0057
1967 0.0046
1967.3 0.0039
1967.7 0.0036
1968.1 0.0036
1968.5 0.0037
1968.9 0.0038
1969.3 0.0041
1969.7 0.0045
1970.1 0.0050
1970.4 0.0056
1970.8 0.0060
1971.2 0.0063
1971.6 0.0065
1972 0.0067
1972.4 0.0068
1972.8 0.0068
1973.2 0.0069
1973.6 0.0072
1973.9 0.0077
1974.3 0.0081
1974.7 0.0082
1975.1 0.0078
1975.5 0.0074
1975.9 0.0073
1976.3 0.0077
1976.7 0.0082
1977.1 0.0087
1977.5 0.0087
1977.8 0.0086
1978.2 0.0085
1978.6 0.0086
1979 0.0088
1979.4 0.0088
1979.8 0.0088
1980.2 0.0087
1980.6 0.0088
1981 0.0093
1981.4 0.0099
1981.8 0.0107
1982.2 0.0116
1982.6 0.0126
1982.9 0.0135
1983.3 0.0143
1983.7 0.0148
1984.1 0.0151
1984.5 0.0154
1984.9 0.0160
1985.3 0.0166
1985.7 0.0173
1986.1 0.0180
1986.5 0.0187
1986.9 0.0193
1987.3 0.0198
1987.7 0.0201
1988.1 0.0202
1988.5 0.0202
1988.9 0.0203
1989.3 0.0207
1989.7 0.0213
1990 0.0220
1990.4 0.0227
1990.8 0.0235
1991.2 0.0245
1991.6 0.0256
1992 0.0267
1992.4 0.0276
1992.8 0.0285
1993.2 0.0295
1993.6 0.0307
1994 0.0319
1994.4 0.0331
1994.8 0.0340
1995.2 0.0349
1995.6 0.0357
1996 0.0369
1996.4 0.0382
1996.8 0.0396
1997.2 0.0411
1997.6 0.0427
1998 0.0446
1998.4 0.0468
1998.8 0.0490
1999.2 0.0509
1999.6 0.0525
2000 0.0540
2000.4 0.0555
2000.8 0.0573
2001.2 0.0592
2001.6 0.0611
2002 0.0630
