#Taken at http://www.tng.iac.es/instruments/nics/imaging.html
#nm    Jband
1040   0.0017
1040.6   0.0018
1041.2   0.0019
1041.8   0.002
1042.4   0.002
1043   0.0021
1043.6   0.0022
1044.2   0.0022
1044.8   0.0023
1045.4   0.0023
1046   0.0023
1046.6   0.0023
1047.2   0.0023
1047.8   0.0023
1048.4   0.0025
1049   0.0027
1049.6   0.0029
1050.2   0.0031
1050.8   0.0032
1051.4   0.0032
1052   0.0033
1052.6   0.0033
1053.2   0.0035
1053.8   0.0036
1054.4   0.0037
1055   0.0038
1055.6   0.0039
1056.2   0.004
1056.8   0.004
1057.4   0.0042
1058   0.0043
1058.6   0.0045
1059.2   0.0046
1059.8   0.0048
1060.4   0.005
1061   0.0051
1061.6   0.0053
1062.2   0.0055
1062.8   0.0057
1063.4   0.0058
1064   0.006
1064.6   0.0062
1065.2   0.0063
1065.8   0.0065
1066.4   0.0066
1067   0.0068
1067.6   0.0071
1068.2   0.0074
1068.8   0.0077
1069.4   0.008
1070   0.0082
1070.6   0.0085
1071.2   0.0088
1071.8   0.0091
1072.4   0.0094
1073   0.0098
1073.6   0.0101
1074.2   0.0104
1074.8   0.0108
1075.4   0.0112
1076   0.0116
1076.6   0.012
1077.2   0.0124
1077.8   0.0129
1078.4   0.0134
1079   0.014
1079.6   0.0145
1080.2   0.018
1080.8   0.0187
1081.4   0.0195
1082   0.0203
1082.6   0.0211
1083.2   0.0219
1083.8   0.0228
1084.4   0.0237
1085   0.0246
1085.6   0.0255
1086.2   0.0264
1086.8   0.0275
1087.4   0.0287
1088   0.0297
1088.6   0.0309
1089.2   0.0322
1089.8   0.0335
1090.4   0.0349
1091   0.0364
1091.6   0.0379
1092.2   0.0395
1092.8   0.0412
1093.4   0.043
1094   0.0448
1094.6   0.0467
1095.2   0.0488
1095.8   0.0511
1096.4   0.0534
1097   0.056
1097.6   0.0586
1098.2   0.0614
1098.8   0.0643
1099.4   0.0675
1100   0.0708
1100.6   0.0742
1101.2   0.0778
1101.8   0.0815
1102.4   0.0854
1103   0.0894
1103.6   0.0937
1104.2   0.0982
1104.8   0.103
1105.4   0.1079
1106   0.1131
1106.6   0.1185
1107.2   0.124
1107.8   0.1298
1108.4   0.1358
1109   0.1419
1109.6   0.1484
1110.2   0.1551
1110.8   0.162
1111.4   0.1691
1112   0.1764
1112.6   0.1839
1113.2   0.1915
1113.8   0.1993
1114.4   0.2073
1115   0.215
1115.6   0.2227
1116.2   0.231
1116.8   0.2394
1117.4   0.248
1118   0.2566
1118.6   0.2658
1119.2   0.2748
1119.8   0.2834
1120.4   0.2921
1121   0.3008
1121.6   0.3094
1122.2   0.3177
1122.8   0.326
1123.4   0.3343
1124   0.3426
1124.6   0.3507
1125.2   0.3588
1125.8   0.3666
1126.4   0.3741
1127   0.3816
1127.6   0.3888
1128.2   0.3959
1128.8   0.403
