# http://www.gemini.edu/sciops/instruments/niri/filters/niri-H-G0203.dat
# nm	%T
1400    0.0
1401	0.022721
1402	0.018492
1403	0.024767
1404	0.015815
1405	0.021476
1406	0.018439
1407	0.019875
1408	0.017585
1409	0.022558
1410	0.018663
1411	0.023597
1412	0.019778
1413	0.018934
1414	0.018936
1415	0.020697
1416	0.026401
1417	0.018704
1418	0.022248
1419	0.020704
1420	0.02097
1421	0.026101
1422	0.022443
1423	0.026682
1424	0.029604
1425	0.036485
1426	0.035451
1427	0.038964
1428	0.037503
1429	0.040573
1430	0.041948
1431	0.045963
1432	0.050531
1433	0.057046
1434	0.056351
1435	0.057487
1436	0.059729
1437	0.065955
1438	0.071257
1439	0.076782
1440	0.080904
1441	0.086344
1442	0.084225
1443	0.091494
1444	0.096561
1445	0.095268
1446	0.11211
1447	0.11631
1448	0.12041
1449	0.12682
1450	0.14001
1451	0.14791
1452	0.15848
1453	0.17083
1454	0.18051
1455	0.19692
1456	0.21409
1457	0.22721
1458	0.24257
1459	0.26597
1460	0.29231
1461	0.32354
1462	0.35263
1463	0.39165
1464	0.42356
1465	0.47115
1466	0.52464
1467	0.58445
1468	0.64635
1469	0.73264
1470	0.8161
1471	0.92378
1472	1.0458
1473	1.1776
1474	1.3398
1475	1.5226
1476	1.7303
1477	1.9729
1478	2.253
1479	2.581
1480	2.9527
1481	3.3896
1482	3.8919
1483	4.4458
1484	5.1081
1485	5.8341
1486	6.69
1487	7.6482
1488	8.7216
1489	9.9081
1490	11.228
1491	12.705
1492	14.339
1493	16.167
1494	18.082
1495	20.223
1496	22.5
1497	24.979
1498	27.651
1499	30.444
1500	33.534
1501	36.659
1502	39.956
1503	43.46
1504	46.935
1505	50.552
1506	54.276
1507	57.896
1508	61.413
1509	64.858
1510	68.045
1511	71.036
1512	73.735
1513	76.108
1514	78.127
1515	79.744
1516	81.038
1517	82.024
1518	82.669
1519	83.074
1520	83.27
1521	83.259
1522	83.159
1523	82.957
1524	82.675
1525	82.384
1526	82.082
1527	81.803
1528	81.547
1529	81.328
1530	81.197
1531	81.1
1532	81.051
1533	81.095
1534	81.178
1535	81.279
1536	81.444
1537	81.656
1538	81.899
1539	82.142
1540	82.416
1541	82.697
1542	82.976
1543	83.233
1544	83.502
1545	83.717
1546	83.917
1547	84.105
1548	84.219
1549	84.335
1550	84.403
1551	84.414
1552	84.461
1553	84.455
1554	84.39
1555	84.374
1556	84.294
1557	84.224
1558	84.141
1559	84.087
1560	83.996
1561	83.961
1562	83.954
1563	83.857
1564	83.892
1565	83.916
1566	83.914
1567	83.971
1568	84.086
1569	84.166
1570	84.269
1571	84.415
1572	84.556
1573	84.68
1574	84.862
1575	85.055
1576	85.226
1577	85.393
1578	85.596
1579	85.792
1580	85.949
1581	86.126
1582	86.304
1583	86.468
1584	86.61
1585	86.717
1586	86.88
1587	86.963
1588	87.02
1589	87.129
1590	87.17
1591	87.187
1592	87.234
1593	87.248
1594	87.263
1595	87.254
1596	87.257
