# http://www.gemini.edu/sciops/instruments/niri/filters/niri-K-G0204.dat
# nm	%T
1950	0.0
1951	0.020287
1952	0.016837
1953	0.018177
1954	0.017961
1955	0.022002
1956	0.018818
1957	0.022825
1958	0.024498
1959	0.023245
1960	0.022704
1961	0.034332
1962	0.030195
1963	0.032847
1964	0.02959
1965	0.038143
1966	0.041282
1967	0.042691
1968	0.042124
1969	0.046845
1970	0.049804
1971	0.056431
1972	0.059048
1973	0.061863
1974	0.064648
1975	0.073465
1976	0.07113
1977	0.081545
1978	0.089258
1979	0.098614
1980	0.10289
1981	0.10768
1982	0.11911
1983	0.13253
1984	0.14312
1985	0.1581
1986	0.16501
1987	0.17729
1988	0.19772
1989	0.20791
1990	0.22476
1991	0.24089
1992	0.25709
1993	0.27146
1994	0.29992
1995	0.31984
1996	0.33489
1997	0.36963
1998	0.39238
1999	0.42417
2000	0.46086
2001	0.49608
2002	0.52891
2003	0.56818
2004	0.60923
2005	0.65327
2006	0.71606
2007	0.76542
2008	0.82962
2009	0.89486
2010	0.96719
2011	1.0433
2012	1.1358
2013	1.2253
2014	1.3303
2015	1.4358
2016	1.5608
2017	1.6978
2018	1.8513
2019	2.0164
2020	2.2013
2021	2.4001
2022	2.6207
2023	2.8725
2024	3.1412
2025	3.4483
2026	3.7951
2027	4.1555
2028	4.5664
2029	5.0243
2030	5.5217
2031	6.0898
2032	6.6982
2033	7.3709
2034	8.1231
2035	8.9427
2036	9.8487
2037	10.837
2038	11.929
2039	13.1
2040	14.401
2041	15.765
2042	17.29
2043	18.901
2044	20.687
2045	22.549
2046	24.492
2047	26.587
2048	28.747
2049	31.058
2050	33.503
2051	35.918
2052	38.452
2053	41.061
2054	43.692
2055	46.329
2056	49.055
2057	51.713
2058	54.381
2059	56.995
2060	59.549
2061	62.118
2062	64.527
2063	66.971
2064	69.274
2065	71.431
2066	73.544
2067	75.539
2068	77.378
2069	79.207
2070	80.822
2071	82.326
2072	83.74
2073	84.985
2074	86.129
2075	87.206
2076	88.107
2077	88.897
2078	89.613
2079	90.194
2080	90.696
2081	91.117
2082	91.464
2083	91.713
2084	91.899
2085	92.05
2086	92.155
2087	92.201
2088	92.232
2089	92.234
2090	92.201
2091	92.169
2092	92.127
2093	92.082
2094	92.021
2095	91.997
2096	91.958
2097	91.902
2098	91.894
2099	91.895
2100	91.895
2101	91.931
2102	91.988
2103	92.037
2104	92.091
2105	92.172
2106	92.263
2107	92.369
2108	92.454
2109	92.6
2110	92.744
2111	92.858
2112	92.991
2113	93.166
2114	93.273
2115	93.394
2116	93.517
2117	93.632
2118	93.747
2119	93.866
2120	93.97
2121	94.065
2122	94.083
2123	94.148
2124	94.211
2125	94.179
2126	94.22
2127	94.197
2128	94.138
2129	94.182
2130	94.127
2131	94.053
2132	93.965
2133	93.851
2134	93.725
2135	93.619
2136	93.491
2137	93.335
2138	93.205
2139	93.031
2140	92.847
2141	92.675
2142	92.477
2143	92.27
2144	92.105
2145	91.937
2146	91.758
2147	91.606
2148	91.472
2149	91.293
2150	91.157
2151	91.011
2152	90.889
2153	90.757
2154	90.659
2155	90.612
2156	90.514
2157	90.44
2158	90.406
2159	90.391
2160	90.336
2161	90.317
2162	90.334
2163	90.37
2164	90.419
2165	90.484
2166	90.554
2167	90.624
2168	90.708
2169	90.794
2170	90.898
2171	90.992
