# Taken at http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?id=INT/WFC.V
# nm zband
821 0.0
822 0.004490
823 0.005802
824 0.007135
825 0.008930
826 0.010938
827 0.013490
828 0.016674
829 0.020528
830 0.024962
831 0.030413
832 0.036872
833 0.044564
834 0.053384
835 0.063502
836 0.075667
837 0.088955
838 0.104224
839 0.120741
840 0.139577
841 0.159032
842 0.181414
843 0.202936
844 0.226341
845 0.252051
846 0.277775
847 0.302756
848 0.330931
849 0.355947
850 0.382329
851 0.408666
852 0.435572
853 0.460255
854 0.488733
855 0.512518
856 0.531831
857 0.557087
858 0.578792
859 0.594540
860 0.610963
861 0.635437
862 0.646621
863 0.664395
864 0.683177
865 0.699133
866 0.701643
867 0.714251
868 0.735609
869 0.736755
870 0.753332
871 0.751994
872 0.768313
873 0.781561
874 0.786886
875 0.793224
876 0.812012
877 0.805393
878 0.801181
879 0.815619
880 0.822657
881 0.832727
882 0.815569
883 0.830960
884 0.843513
885 0.852769
886 0.841506
887 0.857651
888 0.853804
889 0.879047
890 0.837463
891 0.848752
892 0.848023
893 0.850246
894 0.878362
895 0.855694
896 0.866996
897 0.836952
898 0.891364
899 0.958442
900 0.914243
901 0.0
